question,answer,tags
What is a paramedic?,"A paramedic is a trained professional who provides emergency medical care.",paramedic
What is triage?,"Triage is sorting patients by urgency. The most serious cases are seen first.",triage
What is a referral?,"A referral is when a doctor sends a patient to a specialist or another facility.",referral
What is a chronic condition?,"A chronic condition is a long-term illness like diabetes, asthma, or HIV. It usually needs ongoing care.",chronic
What is an acute condition?,"An acute condition is a short-term illness like a cold or flu. It usually resolves on its own.",acute
What is a terminal illness?,"A terminal illness is one that cannot be cured and will likely cause death. Palliative care helps.",terminal
What is a relapse?,"A relapse is when symptoms return after a period of improvement.",relapse
What is remission?,"Remission is when symptoms of a disease reduce or disappear, especially in cancer.",remission
What is a prognosis?,"A prognosis is a prediction of how a disease will progress and the likely outcome.",prognosis
What is a diagnosis?,"A diagnosis is identifying a disease based on symptoms, tests, and examination.",diagnosis
What is a differential diagnosis?,"A differential diagnosis is a list of possible conditions that could explain the symptoms.",differential diagnosis
What is a second opinion?,"A second opinion is advice from another doctor about your condition or treatment.",second opinion
What is a cure?,"A cure is a treatment that eliminates a disease completely.",cure
What is a treatment?,"A treatment is medical care given to manage or cure a condition.",treatment
What is a symptom?,"A symptom is a sign of illness that a person feels or notices.",symptom
What is a sign?,"A sign is something a doctor can observe, like a rash or high blood pressure.",sign
What is a syndrome?,"A syndrome is a group of symptoms that occur together and characterise a condition.",syndrome
What is a disorder?,"A disorder is a disturbance in normal function. It may or may not have a known cause.",disorder
What is a disease?,"A disease is a condition that impairs normal body function.",disease
What is an infection?,"An infection is when germs enter the body and multiply. It can be bacterial, viral, fungal, or parasitic.",infection
What is inflammation?,"Inflammation is the body's response to injury or infection. Signs include redness, heat, swelling, and pain.",inflammation
What is an immune response?,"An immune response is how the body fights infection and disease.",immune
What is an antibody?,"An antibody is a protein the body makes to fight a specific germ.",antibody
What is an antigen?,"An antigen is a substance that triggers an immune response.",antigen
What is a vaccine?,"A vaccine teaches the immune system to fight a specific disease. It is one of the most effective ways to prevent illness.",vaccine
What is immunisation?,"Immunisation is the process of making someone immune to a disease, usually through vaccination.",immunisation
What is a booster?,"A booster is an extra dose of a vaccine to strengthen immunity.",booster
What is an adverse reaction?,"An adverse reaction is a harmful response to a medicine or vaccine. Report serious reactions to a doctor.",adverse reaction
What is a side effect?,"A side effect is an unwanted effect of a medicine. Most are mild and temporary.",side effect
What is a drug interaction?,"A drug interaction is when one medicine affects another. Always tell your doctor what you are taking.",drug interaction
What is an allergy?,"An allergy is when the immune system reacts to something harmless, like pollen or peanuts.",allergy
What is anaphylaxis?,"Anaphylaxis is a severe allergic reaction. Symptoms include swelling, difficulty breathing, and low blood pressure. It is a medical emergency.",anaphylaxis
What is asthma?,"Asthma is a condition where the airways narrow, making it hard to breathe. Symptoms include wheezing, coughing, and shortness of breath. It can be managed with inhalers.",asthma breathing
What is eczema?,"Eczema is a skin condition that causes dry, itchy, and inflamed patches. It often runs in families and is linked to allergies. It is not contagious.",eczema skin rash
How do I treat eczema?,"Moisturise daily. Avoid harsh soaps. Use mild cleansers. Apply prescribed creams during flare-ups. Avoid scratching.",eczema skin treat
What is psoriasis?,"Psoriasis is a skin condition where skin cells build up quickly, forming scales and red patches. It is not contagious. It can be linked to stress and genetics.",psoriasis skin
What is acne?,"Acne is a skin condition with pimples, blackheads, and whiteheads. It is common in teenagers. Treatments include creams and antibiotics.",acne skin
How do I treat acne?,"Wash gently twice a day. Use non-comedogenic products. Try benzoyl peroxide or salicylic acid. See a doctor for severe acne.",acne treat
What is a fungal infection?,"A fungal infection is caused by fungi. Examples include athlete's foot, ringworm, and yeast infections. They are treated with antifungal creams.",fungal
What is ringworm?,"Ringworm is a fungal infection that causes a ring-shaped rash. It is not caused by a worm. It is treated with antifungal cream.",ringworm
What is athlete's foot?,"Athlete's foot is a fungal infection between the toes. It causes itching and peeling. Keep feet dry and use antifungal cream.",athletes foot
What is a yeast infection?,"A yeast infection is a common fungal infection. Symptoms include itching, burning, and discharge. It is not a sexually transmitted infection and is easily treated.",yeast infection fungal
What is a cold sore?,"Cold sores are small painful blisters near the mouth caused by the herpes simplex virus. They are contagious. They usually heal within 1-2 weeks.",cold sore herpes
What is shingles?,"Shingles is a painful rash caused by the same virus as chickenpox. It usually affects one side of the body. See a doctor early.",shingles
What is chickenpox?,"Chickenpox is a viral infection with itchy blisters. It is usually mild in children. A vaccine prevents it.",chickenpox
What is measles?,"Measles is a highly contagious viral infection. Symptoms include fever, cough, and a rash. A vaccine prevents it.",measles
What is mumps?,"Mumps is a viral infection that causes swelling of the salivary glands. A vaccine prevents it.",mumps
What is rubella?,"Rubella (German measles) is a viral infection. It is usually mild but dangerous in pregnancy. A vaccine prevents it.",rubella
What is polio?,"Polio is a viral infection that can cause paralysis. A vaccine has nearly eliminated it worldwide.",polio
What is tetanus?,"Tetanus is a bacterial infection that causes muscle stiffness and spasms. It is prevented by vaccination.",tetanus
What is diphtheria?,"Diphtheria is a bacterial infection that causes a thick covering in the throat. It is prevented by vaccination.",diphtheria
What is pertussis?,"Pertussis (whooping cough) is a bacterial infection with severe coughing fits. It is prevented by vaccination.",pertussis
What is Hib?,"Hib (Haemophilus influenzae type b) is a bacterium that can cause serious infections. It is prevented by vaccination.",hib
What is pneumococcal disease?,"Pneumococcal disease is caused by bacteria that can cause pneumonia and meningitis. It is prevented by vaccination.",pneumococcal
What is rotavirus?,"Rotavirus is a virus that causes severe diarrhoea in children. It is prevented by vaccination.",rotavirus
What is HPV?,"HPV (Human Papillomavirus) is a common virus that can cause cervical and other cancers. It is prevented by vaccination.",hpv
What is meningitis?,"Meningitis is inflammation of the membranes around the brain and spinal cord. Symptoms include severe headache, fever, stiff neck, nausea, and sensitivity to light. It can be life-threatening — seek help immediately.",meningitis brain emergency
What is encephalitis?,"Encephalitis is inflammation of the brain. Symptoms include fever, headache, confusion, and seizures. It is a medical emergency.",encephalitis
What is sepsis?,"Sepsis is the body's extreme response to an infection. Symptoms include fever, rapid heart rate, confusion, and difficulty breathing. It is a medical emergency.",sepsis emergency infection
What is septic shock?,"Septic shock is a severe form of sepsis with dangerously low blood pressure. It is life-threatening.",septic shock
What is toxic shock syndrome?,"TSS is a rare but serious condition caused by bacterial toxins. It is linked to tampon use and skin infections. Symptoms include fever, rash, and low blood pressure.",tss
What is MRSA?,"MRSA is a type of bacteria resistant to many antibiotics. It can cause serious infections.",mrsa
What is C. diff?,"C. diff is a bacterium that causes diarrhoea, often after antibiotic use. It can be serious.",c diff
What is E. coli?,"E. coli is a bacterium. Some types cause food poisoning. Others are harmless.",e coli
What is salmonella?,"Salmonella is a bacterium that causes food poisoning. Symptoms include diarrhoea, fever, and cramps.",salmonella
What is listeria?,"Listeria is a bacterium that causes food poisoning. It is especially dangerous in pregnancy.",listeria
What is cholera?,"Cholera is a bacterial infection that causes severe diarrhoea and dehydration. It is spread through contaminated water.",cholera
What is typhoid?,"Typhoid is a bacterial infection spread through contaminated food and water. Symptoms include fever, abdominal pain, and rash.",typhoid
What is hepatitis A?,"Hepatitis A is a viral infection of the liver. It spreads through contaminated food and water. A vaccine exists.",hepatitis a
What is yellow fever?,"Yellow fever is a viral infection spread by mosquitoes. It can cause fever, jaundice, and bleeding. A vaccine exists.",yellow fever
What is dengue fever?,"Dengue fever is a viral infection spread by mosquitoes. Symptoms include high fever, severe headache, and joint pain.",dengue
What is zika virus?,"Zika virus is spread by mosquitoes. It usually causes mild illness but can cause birth defects if contracted during pregnancy.",zika
What is Ebola?,"Ebola is a severe viral infection with fever, bleeding, and organ failure. It spreads through contact with bodily fluids.",ebola
What is rabies?,"Rabies is a viral infection spread by animal bites. Once symptoms appear, it is almost always fatal. A vaccine exists.",rabies
What is tetanus?,"Tetanus is a bacterial infection that causes muscle stiffness and spasms. It is prevented by vaccination.",tetanus
What is anthrax?,"Anthrax is a bacterial infection. It can affect the skin, lungs, or gut. It is rare and treatable with antibiotics.",anthrax
What is plague?,"Plague is a bacterial infection spread by fleas. It can be serious but is treatable with antibiotics.",plague
What is leprosy?,"Leprosy is a bacterial infection that affects the skin and nerves. It is curable with multi-drug therapy.",leprosy
What is bilharzia?,"Bilharzia (schistosomiasis) is a parasitic infection spread by snails in fresh water. Symptoms include fever and blood in urine. It is treatable.",bilharzia
What is hookworm?,"Hookworm is a parasitic worm that lives in the small intestine. It causes anaemia and fatigue. It is treated with medication.",hookworm
What is tapeworm?,"Tapeworm is a parasitic worm that lives in the gut. It is usually caught from undercooked meat. It is treated with medication.",tapeworm
What is roundworm?,"Roundworm is a parasitic worm that lives in the gut. It causes abdominal pain and malnutrition. It is treated with medication.",roundworm
What is threadworm?,"Threadworm (pinworm) is a common parasitic worm in children. It causes itching around the anus. It is treated with medication.",threadworm
What is scabies?,"Scabies is a skin infestation by tiny mites. It causes intense itching and a rash. It is treated with a cream and by washing bedding.",scabies
What is head lice?,"Head lice are tiny insects that live on the scalp. They cause itching. They are treated with medicated shampoo.",head lice
What is a mosquito net?,"A mosquito net is a net hung over a bed to protect against mosquito bites. It helps prevent malaria.",mosquito net
What is insect repellent?,"Insect repellent is a substance applied to skin or clothing to keep insects away.",insect repellent
What is a vaccine?,"A vaccine teaches the immune system to fight a specific disease. It is one of the most effective ways to prevent illness.",vaccine
What is herd immunity?,"Herd immunity is when enough people are immune to a disease to protect those who can't be vaccinated.",herd immunity
What is a booster?,"A booster is an extra dose of a vaccine to strengthen immunity.",booster
What is a flu shot?,"A flu shot is a yearly vaccine against influenza. It is recommended for most people over 6 months old, especially those at high risk.",flu shot vaccine
What is a vaccine passport?,"A vaccine passport is a document showing you have been vaccinated. It is used for travel or entry to certain places.",vaccine passport
What is a mask?,"A mask covers the nose and mouth to reduce the spread of germs. It is especially useful in crowded indoor spaces.",mask
What is social distancing?,"Social distancing is keeping space between people to reduce disease spread.",social distancing
What is hand hygiene?,"Hand hygiene means washing hands with soap and water or using sanitiser. It is one of the best ways to prevent infection.",hand hygiene
How do I wash my hands properly?,"Wet hands. Apply soap. Rub for at least 20 seconds. Cover all surfaces including between fingers and under nails. Rinse. Dry with a clean towel.",hand washing
What is cough etiquette?,"Cough etiquette is covering your mouth when you cough or sneeze. Use a tissue or your elbow.",cough etiquette
What is PPE?,"PPE (Personal Protective Equipment) is gear worn to protect against infection, like gloves, masks, and gowns.",ppe
What is a lockdown?,"A lockdown is when people are required to stay home to slow the spread of disease.",lockdown
What is a state of emergency?,"A state of emergency is when a government takes special powers during a crisis.",state of emergency
What is contact tracing?,"Contact tracing is finding people who may have been in contact with an infected person.",contact tracing
What is quarantine?,"Quarantine is separating people who may have been exposed to a disease to prevent spread.",quarantine
What is isolation?,"Isolation is separating people who are sick to prevent spread of disease.",isolation
What is a super spreader?,"A super spreader is someone who infects many other people.",super spreader
What is R0?,"R0 (R-naught) is the average number of people one infected person will infect in a susceptible population.",r0
What is a variant?,"A variant is a version of a virus with genetic changes. Some variants spread more easily.",variant
What is a mutation?,"A mutation is a change in the genetic material of a virus or cell.",mutation
What is a PCR test?,"A PCR test detects genetic material from a virus. It is very accurate but takes longer.",pcr test
What is a rapid test?,"A rapid test gives results in minutes. It is less accurate than a PCR test but faster.",rapid test
What is an antibody test?,"An antibody test checks if you have had an infection in the past.",antibody test
What is a swab test?,"A swab test collects a sample from the nose or throat to test for infection.",swab test
What is a blood test?,"A blood test involves taking a small sample of blood to check for various conditions. It is a common diagnostic tool.",blood test
What is an X-ray?,"An X-ray is an imaging test that uses radiation to see inside the body. It is often used to check for broken bones.",xray
What is an MRI?,"An MRI uses magnets and radio waves to create detailed images of the body. It is used to check organs, joints, and the brain.",mri
What is a CT scan?,"A CT scan uses X-rays to create detailed cross-sectional images of the body. It is faster than an MRI.",ct scan
What is an ultrasound?,"An ultrasound uses sound waves to create images. It is often used in pregnancy and to check organs.",ultrasound
What is an ECG?,"An ECG (electrocardiogram) measures the electrical activity of the heart. It is used to detect heart problems.",ecg
What is an endoscopy?,"An endoscopy is a procedure where a flexible tube with a camera is used to look inside the body, often the stomach or colon.",endoscopy
What is a biopsy?,"A biopsy is when a small sample of tissue is removed to check for disease, often cancer.",biopsy
What is chemotherapy?,"Chemotherapy is a cancer treatment that uses drugs to kill cancer cells. It can cause side effects like nausea, hair loss, and fatigue.",chemotherapy
What is radiation therapy?,"Radiation therapy uses high-energy rays to kill cancer cells. It is often used alongside other treatments.",radiation
What is surgery?,"Surgery is a medical procedure where a doctor operates on the body. It can be used to diagnose, treat, or prevent disease.",surgery
What is anaesthesia?,"Anaesthesia is medicine that blocks pain during surgery. There are different types: local, regional, and general.",anaesthesia
What is physiotherapy?,"Physiotherapy is treatment that uses exercise, massage, and other techniques to improve movement and reduce pain.",physiotherapy
What is occupational therapy?,"Occupational therapy helps people with daily activities, especially after injury or illness.",occupational therapy
What is speech therapy?,"Speech therapy helps people with speech, language, and swallowing problems.",speech therapy
What is counselling?,"Counselling is talking therapy that helps people work through emotional and psychological problems.",counselling
What is CBT?,"CBT (Cognitive Behavioural Therapy) is a type of therapy that helps change negative thought patterns. It is effective for depression, anxiety, and other conditions.",cbt
What is mindfulness?,"Mindfulness is being present in the moment without judgement. It helps reduce stress and improve mental health.",mindfulness
What is yoga?,"Yoga is a practice that combines poses, breathing, and meditation. It improves flexibility, strength, and mental wellbeing.",yoga
What is meditation?,"Meditation is a practice of focusing the mind to achieve calmness and clarity. It reduces stress and improves focus.",meditation
What is acupuncture?,"Acupuncture is a traditional Chinese medicine where thin needles are inserted into the skin. It is used for pain relief.",acupuncture
What is homeopathy?,"Homeopathy is a form of alternative medicine. There is little scientific evidence that it works.",homeopathy
What is herbal medicine?,"Herbal medicine uses plants for healing. Some herbs have proven benefits, but others can be dangerous or interact with medicines.",herbal
What is traditional medicine?,"Traditional medicine refers to healing practices passed down through generations. In South Africa, traditional healers (sangomas and inyangas) are widely used.",traditional medicine
What is a sangoma?,"A sangoma is a traditional healer in Southern Africa who communicates with ancestors. They are consulted for many health and life issues.",sangoma
What is an inyanga?,"An inyanga is a traditional herbalist in Southern Africa. They use plants and natural remedies for healing.",inyanga
What is muthi?,"Muthi is traditional medicine in Southern Africa. It can be herbal or animal-based. Some muthi is safe, but some can be harmful.",muthi
What is a medical aid?,"A medical aid is private health insurance in South Africa. It covers private healthcare costs.",medical aid
What is NHI?,"NHI (National Health Insurance) is a proposed South African system to provide universal healthcare.",nhi
What is a public clinic?,"A public clinic is a government-funded health facility. Services are free or low-cost.",public clinic
What is a private hospital?,"A private hospital is a for-profit health facility. It usually requires medical aid or cash payment.",private hospital
What is an emergency room?,"An emergency room (ER) is a hospital department for serious, life-threatening conditions.",emergency room
What is a trauma centre?,"A trauma centre is a hospital equipped to handle serious injuries.",trauma centre
What is an ambulance?,"An ambulance is a vehicle that takes sick or injured people to hospital. In South Africa, call 10177.",ambulance
What is a paramedic?,"A paramedic is a trained professional who provides emergency medical care.",paramedic
What is triage?,"Triage is sorting patients by urgency. The most serious cases are seen first.",triage
What is a referral?,"A referral is when a doctor sends a patient to a specialist or another facility.",referral
What is a chronic condition?,"A chronic condition is a long-term illness like diabetes, asthma, or HIV. It usually needs ongoing care.",chronic
What is an acute condition?,"An acute condition is a short-term illness like a cold or flu. It usually resolves on its own.",acute
What is a terminal illness?,"A terminal illness is one that cannot be cured and will likely cause death. Palliative care helps.",terminal
What is a relapse?,"A relapse is when symptoms return after a period of improvement.",relapse
What is remission?,"Remission is when symptoms of a disease reduce or disappear, especially in cancer.",remission
What is a prognosis?,"A prognosis is a prediction of how a disease will progress and the likely outcome.",prognosis
What is a diagnosis?,"A diagnosis is identifying a disease based on symptoms, tests, and examination.",diagnosis
What is a differential diagnosis?,"A differential diagnosis is a list of possible conditions that could explain the symptoms.",differential diagnosis
What is a second opinion?,"A second opinion is advice from another doctor about your condition or treatment.",second opinion
What is a cure?,"A cure is a treatment that eliminates a disease completely.",cure
What is a treatment?,"A treatment is medical care given to manage or cure a condition.",treatment
What is a symptom?,"A symptom is a sign of illness that a person feels or notices.",symptom
What is a sign?,"A sign is something a doctor can observe, like a rash or high blood pressure.",sign
What is a syndrome?,"A syndrome is a group of symptoms that occur together and characterise a condition.",syndrome
What is a disorder?,"A disorder is a disturbance in normal function. It may or may not have a known cause.",disorder
What is a disease?,"A disease is a condition that impairs normal body function.",disease
What is an infection?,"An infection is when germs enter the body and multiply. It can be bacterial, viral, fungal, or parasitic.",infection
What is inflammation?,"Inflammation is the body's response to injury or infection. Signs include redness, heat, swelling, and pain.",inflammation
What is an immune response?,"An immune response is how the body fights infection and disease.",immune
What is an antibody?,"An antibody is a protein the body makes to fight a specific germ.",antibody
What is an antigen?,"An antigen is a substance that triggers an immune response.",antigen
Can I treat diabetes at home?,"Type 2 diabetes can be managed with diet, exercise, and oral medication at home. Type 1 always needs insulin. Never stop or change medication without a doctor's guidance. Regular check-ups are essential.",diabetes treat home manage
Can I treat high blood pressure at home?,"Mild hypertension can be managed at home with reduced salt, exercise, weight loss, and stress management. If your BP is above 140/90, see a doctor — you may need medication.",blood pressure hypertension home treat
Can I treat a cold at home?,"Yes. Rest, drink fluids, use paracetamol for aches. Colds clear up in about a week. See a doctor if it lasts more than 10 days or symptoms are severe.",cold home treat
Can I treat the flu at home?,"Yes for most people. Rest, fluids, paracetamol. Stay home to avoid spreading it. See a doctor if you have trouble breathing, chest pain, or symptoms last more than 10 days.",flu influenza home treat
Can I treat a fever at home?,"Yes if it's mild (below 39°C) and you're otherwise healthy. Rest, fluids, paracetamol. Seek help if fever is very high, lasts more than 3 days, or comes with severe symptoms.",fever home treat
Can I treat a headache at home?,"Yes. Rest in a quiet dark room, drink water, take paracetamol or ibuprofen. Seek help if the headache is sudden and severe, comes with fever and stiff neck, or follows a head injury.",headache home treat
Can I treat a migraine at home?,"Yes. Rest in a dark quiet room, apply cold compress, take pain relievers early. Avoid triggers. See a doctor if migraines are frequent or disabling.",migraine home treat
Can I treat a sore throat at home?,"Yes. Gargle warm salt water, drink warm fluids, suck lozenges, take paracetamol. See a doctor if it lasts more than a week or comes with a high fever.",sore throat home treat
Can I treat a cough at home?,"Yes. Warm fluids, honey (adults and children over 1), steam inhalation. See a doctor if it lasts more than 3 weeks or brings up blood.",cough home treat
Can I treat diarrhoea at home?,"Yes for mild cases. Drink fluids and oral rehydration salts, eat bland food. See a doctor if there's blood, it lasts more than 2 days, or you can't keep fluids down.",diarrhoea diarrhea home treat
Can I treat constipation at home?,"Yes. Drink more water, eat more fibre, exercise, try prunes. See a doctor if it lasts more than 2 weeks.",constipation home treat
Can I treat a UTI at home?,"No. UTIs need antibiotics. Drink water and see a doctor. Untreated UTIs can spread to the kidneys.",uti urinary home treat
Can I treat asthma at home?,"Asthma is managed with inhalers, but you need a doctor's prescription. During an attack, use your reliever inhaler and seek help if it doesn't work.",asthma home treat
Can I treat a sprain at home?,"Yes. RICE — Rest, Ice, Compression, Elevation. See a doctor if you can't bear weight or the pain is severe.",sprain home treat
Can I treat a burn at home?,"Minor burns yes — cool under running water for 10-20 minutes, cover with a clean dressing. Do not use ice or butter. Deep or large burns need medical help.",burn home treat
Can I treat a nosebleed at home?,"Yes. Sit upright, lean forward, pinch the soft part of the nose for 10-15 minutes. Seek help if it doesn't stop.",nosebleed home treat
Can I treat food poisoning at home?,"Yes for mild cases. Rest, drink fluids, eat bland food. Seek help if symptoms are severe, last more than 3 days, or there's blood in stool.",food poisoning home treat
Can I treat a fever in a baby at home?,"See a doctor if the baby is under 3 months. For older babies, use paracetamol (dosed by weight), keep them hydrated, dress lightly. Seek help if the baby is very sleepy, has a rash, or won't feed.",fever baby home treat
Can I treat depression at home?,"Mild depression may improve with exercise, sleep, and support. Moderate to severe depression needs therapy and possibly medication. Talk to a doctor.",depression home treat
Can I treat anxiety at home?,"Yes for mild anxiety — deep breathing, exercise, limiting caffeine. See a therapist if it affects daily life.",anxiety home treat
Can I treat a yeast infection at home?,"Yes, over-the-counter antifungal creams work for many yeast infections. See a doctor if it's your first time, symptoms persist, or you have pelvic pain or fever.",yeast infection home treat
Can I treat a cold sore at home?,"Yes. Use over-the-counter creams, keep the area clean, avoid touching it. See a doctor if it's severe or lasts more than 2 weeks.",cold sore home treat
Can I treat hay fever at home?,"Yes. Antihistamines, avoid allergens, keep windows closed during high pollen. See a doctor if symptoms are severe.",hay fever allergy home treat
Can I treat eczema at home?,"Yes. Moisturise daily, avoid harsh soaps, use mild cleansers. See a doctor for prescription creams if it's severe.",eczema home treat
Can I treat acne at home?,"Yes. Wash gently, use non-comedogenic products, try benzoyl peroxide or salicylic acid. See a doctor for severe acne.",acne home treat
Can I treat arthritis at home?,"Yes. Gentle exercise, hot or cold packs, healthy weight. See a doctor for medication or therapy.",arthritis home treat
Can I treat gout at home?,"During an attack, rest and elevate the joint, apply ice. Take anti-inflammatory painkillers. Long term, reduce red meat, alcohol, and sugary drinks. See a doctor.",gout home treat
Can I treat insomnia at home?,"Yes. Regular sleep schedule, no caffeine late, no screens before bed. See a doctor if it lasts more than a few weeks.",insomnia sleep home treat
Can I treat dehydration at home?,"Yes for mild cases. Drink water or oral rehydration salts. Seek emergency help if the person is confused, very drowsy, or can't keep fluids down.",dehydration home treat
Can I treat anaemia at home?,"Mild iron-deficiency anaemia may improve with iron-rich foods and supplements. See a doctor to find the cause and get proper treatment.",anaemia anemia home treat
Can I treat asthma without an inhaler?,"No. Inhalers are essential for asthma. If you don't have one, see a doctor or go to a clinic.",asthma inhaler
Can I treat HIV at home?,"No. HIV needs antiretroviral therapy (ART), prescribed by a doctor. With treatment, HIV is manageable and you can live a long, healthy life.",hiv home treat
Can I treat TB at home?,"No. TB needs a 6-9 month course of antibiotics, supervised by a clinic. Taking it irregularly causes drug resistance.",tb tuberculosis home treat
Can I treat malaria at home?,"No. Malaria needs prescription medication. See a doctor immediately — it can be fatal if untreated.",malaria home treat
Can I treat cancer at home?,"No. Cancer needs medical treatment (surgery, chemotherapy, radiation). Alternative therapies may help with side effects, but not cure cancer.",cancer home treat
Can I treat a heart attack at home?,"No. Call emergency services immediately. Chew aspirin if available and not allergic. Rest and stay calm.",heart attack home
Can I treat a stroke at home?,"No. Call emergency services immediately. Note the time. Do not give food or drink.",stroke home
Can I treat an allergic reaction at home?,"Mild reactions can be treated with antihistamines. Severe reactions (swelling, trouble breathing) need emergency help and epinephrine.",allergy reaction home treat
Can I treat a snake bite at home?,"No. Keep the person still, don't cut or suck the wound, don't use a tourniquet. Get to hospital immediately.",snake bite home
Can I treat a broken bone at home?,"No. Immobilise the area and go to hospital. Do not try to straighten the bone.",fracture broken home
Can I treat a deep cut at home?,"For deep cuts, apply firm pressure with a clean cloth and go to hospital. You may need stitches or a tetanus shot.",cut deep home
Can I treat appendicitis at home?,"No. Appendicitis is a medical emergency requiring surgery. Do not eat, drink, or take painkillers — go to hospital.",appendicitis home
Can I treat pneumonia at home?,"Mild pneumonia can be treated at home with antibiotics and rest. Severe pneumonia needs hospital care. Always see a doctor.",pneumonia home treat
Can I treat bronchitis at home?,"Yes. Rest, fluids, honey, steam. Most cases are viral and clear up in 2-3 weeks. See a doctor if it lasts longer or you cough up blood.",bronchitis home treat
Can I treat tonsillitis at home?,"Mild cases: rest, fluids, warm salt gargle, painkillers. If it's bacterial (strep), you need antibiotics — see a doctor.",tonsillitis home treat
Can I treat an ear infection at home?,"Mild ear pain may improve with warm compress and painkillers. See a doctor if there's discharge, hearing loss, or severe pain.",ear infection home treat
Can I treat a toothache at home?,"Yes temporarily — rinse with salt water, apply cold pack, take painkillers. But see a dentist — the cause needs treatment.",toothache home treat
Can I treat conjunctivitis at home?,"Viral and allergic conjunctivitis clear up on their own with warm compresses. Bacterial cases need antibiotic drops — see a doctor.",conjunctivitis eye home treat
Can I treat a UTI without antibiotics?,"No. UTIs need antibiotics. Untreated UTIs can spread to kidneys.",uti antibiotics
Can I treat the flu without medicine?,"Yes for most people. Rest, fluids, and time. Medicine only helps symptoms. Antibiotics don't work on flu.",flu medicine
Can I treat a cold with antibiotics?,"No. Antibiotics only work against bacteria, not viruses like colds. Rest and fluids help.",cold antibiotics
Can I treat diabetes with diet alone?,"Some people with type 2 diabetes can manage with diet and exercise. Others need medication. Talk to your doctor.",diabetes diet
Can I treat high cholesterol with diet?,"Yes, diet and exercise can lower cholesterol. Some people also need medication (statins).",cholesterol diet
Can I treat high blood pressure with diet?,"Yes, reducing salt, eating well, exercising, and losing weight can lower BP. Many people also need medication.",blood pressure diet
Can I treat asthma with natural remedies?,"Some people find relief with breathing exercises or avoiding triggers. But inhalers are essential for asthma control. Don't replace medical treatment with natural remedies.",asthma natural
Can I treat cancer with diet?,"No. Diet can help you feel better during treatment but cannot cure cancer. Follow your doctor's treatment plan.",cancer diet
Can I treat depression without medication?,"Mild depression may improve with therapy, exercise, and lifestyle changes. Moderate to severe depression usually needs medication too.",depression medication
Can I treat anxiety without medication?,"Mild anxiety can often be managed with therapy, exercise, and relaxation techniques. Severe anxiety may need medication.",anxiety medication
Can I treat insomnia without medication?,"Yes. Sleep hygiene, exercise, and stress management help most people. Medication is a short-term option.",insomnia medication
Can I treat ADHD without medication?,"Therapy, routine, and lifestyle changes help. Many people also need medication. Talk to a specialist.",adhd medication
Can I treat schizophrenia without medication?,"No. Schizophrenia needs antipsychotic medication. Therapy and support also help.",schizophrenia medication
Can I treat bipolar disorder without medication?,"No. Bipolar disorder needs mood stabilisers or antipsychotics. Therapy helps too.",bipolar medication
Can I treat epilepsy without medication?,"Some people can after years of no seizures, but only under a doctor's guidance. Never stop medication on your own.",epilepsy medication
Can I treat a heart condition without surgery?,"Many heart conditions are managed with medication and lifestyle. Some need surgery or stents. Your cardiologist decides.",heart surgery
What happens if diabetes is not treated?,"Untreated diabetes can cause blindness, kidney failure, nerve damage, heart disease, and amputations. It can be life-threatening.",diabetes untreated
What happens if high blood pressure is not treated?,"Untreated hypertension can cause stroke, heart attack, kidney damage, and vision loss. It is often called the 'silent killer'.",blood pressure untreated
What happens if HIV is not treated?,"Untreated HIV progresses to AIDS, where the immune system is severely damaged. This leads to serious infections and death.",hiv untreated
What happens if TB is not treated?,"Untreated TB spreads to other organs and can be fatal. It also spreads to other people.",tb untreated
What happens if malaria is not treated?,"Untreated malaria can cause organ failure, coma, and death, often within days.",malaria untreated
What happens if asthma is not treated?,"Untreated asthma leads to more frequent and severe attacks, permanent airway damage, and can be fatal.",asthma untreated
What happens if cancer is not treated?,"Untreated cancer usually grows and spreads, eventually causing death. Early treatment gives the best outcome.",cancer untreated
What happens if depression is not treated?,"Untreated depression can become chronic, affect work and relationships, and increase suicide risk.",depression untreated
What happens if a stroke is not treated quickly?,"Every minute counts. Untreated strokes cause permanent brain damage and can be fatal.",stroke untreated
What happens if a heart attack is not treated quickly?,"Untreated heart attacks cause permanent heart damage and are often fatal.",heart attack untreated
What happens if a wound gets infected?,"Infection can spread, cause sepsis, and become life-threatening. See a doctor — you may need antibiotics.",wound infection
What happens if you don't finish antibiotics?,"The infection may come back, and bacteria can become resistant to antibiotics. Always finish the full course.",antibiotics finish
What happens if you take too much paracetamol?,"Paracetamol overdose can cause liver failure and death. Call emergency services immediately if you suspect an overdose.",paracetamol overdose
What happens if you drink too much alcohol?,"Long-term heavy drinking causes liver damage, heart disease, cancer, and mental health problems. Binge drinking can be fatal.",alcohol too much
What happens if you smoke?,"Smoking causes cancer, heart disease, stroke, and lung disease. It shortens life by about 10 years.",smoking
What happens if you don't sleep?,"Sleep deprivation causes memory problems, mood swings, weakened immunity, and increased risk of accidents.",sleep deprivation
What happens if you don't drink water?,"Dehydration causes fatigue, dizziness, confusion, and in severe cases, organ failure and death.",water dehydration
What happens if you eat too much sugar?,"Too much sugar causes weight gain, diabetes, tooth decay, and heart disease.",sugar too much
What happens if you eat too much salt?,"Too much salt raises blood pressure, increasing the risk of heart attack and stroke.",salt too much
